"originalorder","field","topic","description","r","ci_lower","ci_upper","k","n","reference","year"
197,"Persuasion","In research on persuasion resistance ...","audience members forewarned to expect a persuasive speech are less persuaded by the speech than those who are not forewarned",0.18,NA,NA,12,1359,"Benoit, 1986",1986
198,"Persuasion","In research on persuasion resistance ...","inoculated individuals are less susceptible to a persuasive attack than people who are not inoculated",0.21,0.19,0.23,41,1066,"Banas & Rains, 2010",2010
199,"Persuasion","In research on persuasion resistance ...","freedom-threatening messages cause more negative attitudes",0.06,-0.03,0.14,11,2991,"Rains, 2013",2013
200,"Persuasion","Message engagement/comprehension is ...","decreased by distraction",0.23,NA,NA,34,915,"Buller, 1986",1986
201,"Persuasion","Message engagement/comprehension is ...","increased by gain framed messages relative to loss framed messages",0.06,0.02,0.1,42,6378,"O’Keefe & Jensen, 2008",2008
202,"Persuasion","Emotions play a role in persuasion ...","fear appeals cause perceptions of fear",0.36,NA,NA,40,7016,"Boster & Mongeau, 1984",1984
203,"Persuasion","Emotions play a role in persuasion ...","fear appeals cause perceptions of fear",0.35,NA,NA,45,7645,"Mongeau, 1986",1986
204,"Persuasion","Emotions play a role in persuasion ...","freedom-threatening messages cause anger",0.23,0.17,0.29,19,4757,"Rains, 2013",2013
205,"Persuasion","The relationships among attitudes, behavioral intentions, and behavior ...","attitudes are correlated with behavioral intentions",0.87,0.83,0.91,92,16785,"Kim & Hunter, 1993a",1993
206,"Persuasion","The relationships among attitudes, behavioral intentions, and behavior ...","behavioral intentions are correlated with behavior",0.82,0.7,0.94,47,10203,"Kim & Hunter, 1993a",1993
207,"Persuasion","The relationships among attitudes, behavioral intentions, and behavior ...","attitudes are correlated with behavior",0.79,NA,NA,138,90808,"Kim & Hunter, 1993b",1993
208,"Persuasion","Sources are perceived to be ...","more credible when they use powerful language compared to powerless language",0.21,NA,NA,14,1299,"Burrell & Koper, 1986",1986
209,"Persuasion","Sources are perceived to be ...","more credible when they used two-sided messages than one-sided messages",0.09,0.05,0.13,56,6937,"O’Keefe, 1999",1999
210,"Persuasion","Sources are perceived to be ...","less competent when they use metaphor",0.01,-0.03,0.06,20,1938,"Sopory & Dillard, 2002",2002
211,"Persuasion","Sources are perceived to be ...","less dynamic when they use metaphor",0.06,0,0.11,11,1252,"Sopory & Dillard, 2002",2002
212,"Persuasion","Sources are perceived to be ...","to have less character when they use metaphor",0.02,-0.05,0.04,20,1936,"Sopory & Dillard, 2002",2002
213,"Persuasion","Sources are perceived to be ...","Culturally adapted advertisements are more liked than non-adapted advertisements",0.08,0.03,0.14,66,6091,"Hornikx & O’Keefe, 2009",2009
214,"Persuasion","Sources are perceived to be ...","Perceived message effectiveness is positively associated with actual message effectiveness",0.41,0.38,0.42,40,3006,"Dillard et al., 2007",2007
